City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,carnarvon,-24.8667,113.6333,30.79,53,63,6.73,AU,02/08/2023 22:44:01
126,port elizabeth,-7.0349,29.7638,21.43,81,100,1.42,CD,02/08/2023 22:46:24
127,poum,-20.2333,164.0167,27.46,81,99,5.34,NC,02/08/2023 22:46:59
128,neiafu,-18.65,-173.9833,26.38,89,75,2.57,TO,02/08/2023 22:46:59
129,chimbote,-9.0853,-78.5783,21.96,86,9,2.26,PE,02/08/2023 22:47:00
130,kahramanmaras,38.0,37.0,-15.58,95,33,1.17,TR,02/08/2023 22:47:00
131,lata,40.1629,-8.3327,6.71,79,11,2.88,PT,02/08/2023 22:42:30
132,sao filipe,20.5113,76.2129,23.2,16,99,1.96,IN,02/08/2023 22:46:52
133,provideniya,64.3833,-173.3,-19.94,65,100,5.0,RU,02/08/2023 22:42:23
134,krasnogvardeyskiy,57.3793,62.3195,-13.15,93,61,2.51,RU,02/08/2023 22:47:01
135,mar del plata,43.4002,-4.0094,6.12,93,0,2.24,ES,02/08/2023 22:47:01
136,longyearbyen,78.2186,15.6401,-6.09,79,100,6.69,SJ,02/08/2023 22:43:38
137,lorengau,-2.0226,147.2712,28.72,67,100,4.53,PG,02/08/2023 22:42:55
138,salalah,17.0151,54.0924,19.05,63,0,1.03,OM,02/08/2023 22:47:02
139,poso,-1.3959,120.7524,29.76,63,99,3.0,ID,02/08/2023 22:47:03
140,bethel,41.3712,-73.414,4.89,61,0,2.57,US,02/08/2023 22:42:47
141,victoria,22.2855,114.1577,21.03,83,96,6.71,HK,02/08/2023 22:42:15
142,severo-kurilsk,50.6789,156.125,-4.79,56,87,9.83,RU,02/08/2023 22:44:32
143,khasan,42.4308,130.6434,-2.22,42,27,2.92,RU,02/08/2023 22:47:04
144,melfort,52.8667,-104.6177,-9.93,73,54,3.6,CA,02/08/2023 22:47:04
145,atbasar,51.8,68.3333,-28.46,100,79,0.7,KZ,02/08/2023 22:47:05
146,palmer,42.1584,-72.3287,4.49,69,75,3.09,US,02/08/2023 22:38:31
147,port hedland,-7.0349,29.7638,21.43,81,100,1.42,CD,02/08/2023 22:47:05
148,superior,46.7208,-92.1041,2.49,87,100,2.57,US,02/08/2023 22:47:06
149,puerto rondon,36.5939,-6.233,12.36,82,0,5.66,ES,02/08/2023 22:47:06
150,lensk,60.7253,114.9278,-22.94,95,98,1.63,RU,02/08/2023 22:43:20
151,deputatskiy,69.3,139.9,-40.4,97,91,1.55,RU,02/08/2023 22:47:07
152,sioux lookout,42.7333,-96.2336,3.17,100,0,0.0,US,02/08/2023 22:47:07
153,saint-augustin,51.226,-58.6502,-10.43,78,99,9.23,CA,02/08/2023 22:44:45
154,upata,8.0086,-62.3989,21.77,89,16,2.14,VE,02/08/2023 22:47:08
155,trelew,-43.249,-65.3051,22.82,41,52,11.7,AR,02/08/2023 22:47:08
156,torbay,47.6666,-52.7314,-0.79,96,100,6.69,CA,02/08/2023 22:44:12
157,cururupu,-1.8283,-44.8683,23.16,96,99,0.82,BR,02/08/2023 22:42:21
158,nouakchott,18.0858,-15.9785,19.96,31,100,6.03,MR,02/08/2023 22:47:09
159,portland,45.5234,-122.6762,8.39,80,75,1.79,US,02/08/2023 22:42:52
160,yulara,-25.2406,130.9889,38.68,12,5,2.54,AU,02/08/2023 22:44:50
161,castro,-24.7911,-50.0119,16.21,95,12,2.39,BR,02/08/2023 22:43:09
162,marystown,47.1666,-55.1483,-1.96,92,96,5.11,CA,02/08/2023 22:47:09
163,tomatlan,19.9333,-105.25,17.59,89,4,0.89,MX,02/08/2023 22:47:10
164,luba,3.4568,8.5547,26.94,84,89,1.5,GQ,02/08/2023 22:47:10
165,mahajanga,-15.7167,46.3167,24.01,94,20,2.06,MG,02/08/2023 22:47:11
166,fortuna,40.5982,-124.1573,7.19,94,0,0.0,US,02/08/2023 22:43:05
167,saskylakh,71.9167,114.0833,-41.37,98,54,3.04,RU,02/08/2023 22:42:26
168,praya,14.9215,-23.5087,20.3,77,75,5.66,CV,02/08/2023 22:44:24
169,upernavik,72.7868,-56.1549,-34.6,84,2,3.81,GL,02/08/2023 22:43:03
170,impfondo,1.6381,18.0667,19.91,53,7,0.38,CG,02/08/2023 22:43:48
171,guerrero negro,17.6667,-100.0,17.01,81,3,2.49,MX,02/08/2023 22:47:11
172,nova olinda do norte,-5.5279,-46.7049,20.7,96,52,1.44,BR,02/08/2023 22:47:12
173,sakakah,29.9697,40.2064,4.76,81,84,2.28,SA,02/08/2023 22:47:12
174,luena,-11.7833,19.9167,15.65,89,100,1.71,AO,02/08/2023 22:47:13
175,jiaohe,43.7286,127.3447,-9.05,80,75,0.2,CN,02/08/2023 22:47:13
176,namatanai,-3.6667,152.4333,28.25,72,98,3.14,PG,02/08/2023 22:47:14
177,grand river south east,38.8755,-109.5012,0.55,56,4,2.47,US,02/08/2023 22:47:14
178,aasiaat,68.7098,-52.8699,-26.18,88,92,2.9,GL,02/08/2023 22:45:19
179,challapata,-18.9,-66.7667,8.69,82,100,1.8,BO,02/08/2023 22:47:15
180,tuatapere,-46.1333,167.6833,13.96,57,79,4.99,NZ,02/08/2023 22:43:20
181,batsfjord,70.6345,29.7185,2.96,75,40,16.98,NO,02/08/2023 22:47:16
182,monrovia,6.3005,-10.7969,22.87,85,88,1.81,LR,02/08/2023 22:44:28
183,waipawa,-41.4122,175.5153,13.48,80,96,4.45,NZ,02/08/2023 22:44:38
184,atuona,-9.8,-139.0333,26.22,79,46,10.06,PF,02/08/2023 22:42:04
185,nouadhibou,20.931,-17.0347,16.99,63,100,3.09,MR,02/08/2023 22:42:46
186,charcas,23.1333,-101.1167,13.06,57,74,2.51,MX,02/08/2023 22:47:17
187,aykhal,66.0,111.5,-30.04,99,97,3.2,RU,02/08/2023 22:47:17
188,faanui,-16.4833,-151.75,27.38,71,9,3.15,PF,02/08/2023 22:44:00
189,zvishavane,-20.3267,30.0665,19.17,81,11,0.61,ZW,02/08/2023 22:47:18
190,makakilo city,21.3524,-158.0865,24.64,57,0,6.17,US,02/08/2023 22:47:18
191,kaitangata,-46.2817,169.8464,14.06,53,83,4.58,NZ,02/08/2023 22:43:12
192,luderitz,-26.6481,15.1594,16.97,96,67,4.5,NA,02/08/2023 22:43:35
193,ust-maya,60.4167,134.5333,-31.92,93,99,0.95,RU,02/08/2023 22:47:19
194,pendleton,45.6721,-118.7886,4.11,69,0,3.6,US,02/08/2023 22:47:20
195,san quintin,13.3034,-4.8956,24.82,15,0,3.94,ML,02/08/2023 22:47:20
